id	label	city	visit_times
1	C++	全球	708
2	iOS	吉林省	482
3	SQLServer	江西省	101
4	SQLServer	河南省	127
5	WebApp	辽宁省	102
6	Html5	天津市	1666
7	前端工具	广西壮族自治区	355
8	iOS	福建省	658
9	WebApp	云南省	1
10	Html5	云南省	570
11	Sass/Less	江西省	54
12	大数据	河南省	680
13	CSS3	安徽省	968
14	功能测试	安徽省	267
15	接口测试	陕西省	80
16	CSS3	河北省	567
17	模型制作	江苏省	286
18	Sass/Less	全球	32
19	Oracle	陕西省	2373
20	动效动画	北京市	2338
21	大数据	云南省	359
22	Cocos2d-x	吉林省	132
23	iOS	广东省	4350
24	CSS3	湖南省	1037
25	性能测试	内蒙古自治区	22
26	JavaScript	广东省	260857
27	WebApp	福建省	396
28	C#	福建省	2353
29	WebApp	上海市	3292
30	C++	内蒙古自治区	3
31	JavaScript	全球 	28769
32	C#	四川省	815
33	HTML/CSS	全球 	67946
34	动效动画	湖北省	1005
35	Android	福建省	5052
36	PHP	重庆市	6125
37	Bootstrap	北京市	26664
38	MySQL	重庆市	901
39	大数据	广东省	5460
40	动效动画	广西壮族自治区	368
41	大数据	天津市	197
42	C++	广西壮族自治区	632
43	JavaScript	内蒙古自治区	9269
44	jQuery	黑龙江省	2346
45	C	河北省	16059
46	功能测试	陕西省	842
47	WebApp	浙江省	2561
48	Unity3D	河北省	53
49	SQLServer	全球 	67
50	模型制作	福建省	67
51	iOS	山东省	1115
52	iOS	广西壮族自治区	196
53	动效动画	安徽省	145
54	PHP	全球	373
55	性能测试	山西省	1
56	SQLServer	重庆市	68
57	Python	全球	568
58	C#	江苏省	2005
59	Oracle	福建省	2007
60	动效动画	黑龙江省	275
61	Oracle	贵州省	78
62	云计算	全球 	725
63	功能测试	重庆市	266
64	Oracle	重庆市	426
65	Html5	四川省	3250
66	WebApp	重庆市	150
67	jQuery	全球 	3963
68	C	重庆市	14294
69	Cocos2d-x	黑龙江省	117
70	Cocos2d-x	浙江省	564
71	C#	江西省	637
72	Oracle	云南省	13
73	设计工具	甘肃省	3624
74	Linux	江西省	2260
75	云计算	湖北省	143
76	动效动画	河南省	1395
77	性能测试	北京市	2264
78	云计算	江西省	85
79	Python	天津市	6225
80	C++	四川省	5023
81	Unity3D	江苏省	720
82	MySQL	浙江省	8242
83	Oracle	新疆维吾尔自治区	531
84	Java	宁夏回族自治区	4482
85	设计工具	山西省	5581
86	性能测试	天津市	2
