id	minute	city	visit_times
1	1048	广东省	241
2	1050	安徽省	15
3	1063	四川省	37
4	1424	湖北省	37
5	1424	全球 	54
6	141	四川省	298
7	142	山东省	302
8	142	云南省	43
9	148	海南省	60
10	222	全球	3
11	226	新疆维吾尔自治区	30
12	340	江苏省	333
13	432	全球	18
14	433	西藏自治区	5
15	434	上海市	617
16	434	山西省	58
17	434	内蒙古自治区	56
18	438	全球 	100
19	445	全球 	104
20	458	重庆市	88
21	702	广东省	1167
22	798	贵州省	15
23	831	湖北省	279
24	852	河南省	236
25	858	江苏省	174
26	861	陕西省	75
27	983	北京市	304
28	987	河南省	62
29	995	安徽省	28
30	996	北京市	205
31	1003	山西省	1
32	1072	辽宁省	9
33	1084	河南省	32
34	1097	重庆市	11
35	1098	北京市	98
36	1098	山西省	1
37	1102	湖南省	13
38	1386	北京市	96
39	1389	辽宁省	10
40	971	河北省	50
41	1393	新疆维吾尔自治区	1
42	976	广西壮族自治区	7
43	1176	江苏省	15
44	1395	上海市	68
45	1180	全球 	90
46	1399	江苏省	34
47	1187	江苏省	14
48	1404	重庆市	5
49	1188	福建省	25
50	1414	江西省	27
51	1194	陕西省	9
52	1417	广西壮族自治区	5
53	1355	湖北省	14
54	105	江苏省	291
55	1355	黑龙江省	1
56	1357	重庆市	6
57	107	河南省	239
58	1357	广东省	100
59	108	吉林省	48
60	1361	北京市	112
61	110	陕西省	172
62	1371	甘肃省	4
63	199	江苏省	373
64	1375	新疆维吾尔自治区	1
65	353	河南省	332
66	243	广东省	831
67	356	新疆维吾尔自治区	14
68	243	内蒙古自治区	12
69	576	浙江省	378
70	244	甘肃省	19
71	579	新疆维吾尔自治区	80
72	249	江苏省	208
73	604	青海省	5
74	606	上海市	375
75	252	浙江省	355
76	618	北京市	878
77	252	黑龙江省	89
78	950	全球 	173
79	255	安徽省	79
80	260	福建省	147
81	956	吉林省	23
82	1282	浙江省	62
83	978	河南省	69
84	1285	内蒙古自治区	4
85	1180	甘肃省	2
86	1300	重庆市	10
87	1183	山东省	16
88	1184	贵州省	3
89	1310	广东省	109
90	1185	江苏省	16
91	1311	黑龙江省	3
92	1314	山东省	18
93	1186	全球 	129
94	1186	福建省	25
95	1314	河北省	12
96	1190	江西省	6
97	65	江苏省	131
98	1196	福建省	24
99	70	陕西省	83
100	75	河北省	82
101	1198	山西省	1
102	77	北京市	644
103	1200	广东省	127
104	412	山东省	244
105	1202	湖北省	23
106	1206	宁夏回族自治区	3
107	496	辽宁省	189
108	508	陕西省	213
109	1207	浙江省	69
110	1355	湖南省	8
111	510	海南省	11
112	1359	全球 	52
113	514	青海省	2
